service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20220704,20220826
2,1,1,1,1,1,0,0,20220609,20220701
3,0,0,0,0,0,1,0,20220709,20220827
4,0,0,0,0,0,1,0,20220611,20220702
5,1,1,1,1,1,0,0,20220609,20220826
6,0,0,0,0,0,1,0,20220611,20220827
7,0,0,1,0,0,0,0,20220615,20220629
8,1,1,0,1,1,0,0,20220609,20220701
9,1,1,1,1,1,1,0,20220609,20220702
10,1,1,1,1,1,0,0,20220609,20220827
11,0,0,0,0,0,0,1,20220612,20220828
12,0,0,0,0,0,1,0,20220611,20220826
13,1,1,1,1,1,1,0,20220704,20220827
14,1,1,1,1,1,0,0,20220609,20220827
15,0,0,0,0,1,0,0,20220610,20220701
16,1,1,1,1,0,0,0,20220609,20220630
17,0,1,0,0,0,0,0,20220614,20220628
18,1,0,0,1,1,0,0,20220609,20220701
19,0,0,0,0,0,1,0,20220611,20220827
20,0,1,0,1,0,0,0,20220609,20220630
21,0,0,0,1,0,0,1,20220710,20220828
22,1,1,1,1,1,1,0,20220609,20220827
23,0,0,0,0,0,1,1,20220611,20220828
24,0,0,0,0,0,0,1,20220612,20220828
25,1,1,1,1,1,1,0,20220609,20220827
26,1,1,1,1,1,1,0,20220609,20220826
27,0,0,0,0,0,0,1,20220612,20220703
28,1,1,1,1,1,1,1,20220609,20220828
29,0,0,0,0,0,1,1,20220611,20220828
30,0,0,0,0,0,1,1,20220611,20220828
31,1,1,1,1,0,0,0,20220704,20220825
32,0,0,0,0,1,0,0,20220708,20220826
33,0,0,0,0,1,1,0,20220610,20220827
34,0,0,0,0,1,0,0,20220610,20220826
35,0,0,0,0,1,1,0,20220610,20220702
36,0,0,1,0,0,1,1,20220611,20220828
37,1,1,1,1,1,1,1,20220704,20220828
