service_id,date,exception_type
1,20220714,2
1,20220815,2
5,20220714,2
5,20220815,2
10,20220704,2
10,20220705,2
10,20220706,2
10,20220707,2
10,20220708,2
10,20220709,1
10,20220711,2
10,20220712,2
10,20220713,2
10,20220714,2
10,20220715,2
10,20220716,1
10,20220718,2
10,20220719,2
10,20220720,2
10,20220721,2
10,20220722,2
10,20220723,1
10,20220725,2
10,20220726,2
10,20220727,2
10,20220728,2
10,20220729,2
10,20220730,1
10,20220801,2
10,20220802,2
10,20220803,2
10,20220804,2
10,20220805,2
10,20220806,1
10,20220808,2
10,20220809,2
10,20220810,2
10,20220811,2
10,20220812,2
10,20220813,1
10,20220815,2
10,20220816,2
10,20220817,2
10,20220818,2
10,20220819,2
10,20220820,1
10,20220822,2
10,20220823,2
10,20220824,2
10,20220825,2
10,20220826,2
10,20220827,1
11,20220714,1
11,20220815,1
12,20220704,1
12,20220705,1
12,20220706,1
12,20220707,1
12,20220708,1
12,20220709,2
12,20220711,1
12,20220712,1
12,20220713,1
12,20220715,1
12,20220716,2
12,20220718,1
12,20220719,1
12,20220720,1
12,20220721,1
12,20220722,1
12,20220723,2
12,20220725,1
12,20220726,1
12,20220727,1
12,20220728,1
12,20220729,1
12,20220730,2
12,20220801,1
12,20220802,1
12,20220803,1
12,20220804,1
12,20220805,1
12,20220806,2
12,20220808,1
12,20220809,1
12,20220810,1
12,20220811,1
12,20220812,1
12,20220813,2
12,20220816,1
12,20220817,1
12,20220818,1
12,20220819,1
12,20220820,2
12,20220822,1
12,20220823,1
12,20220824,1
12,20220825,1
12,20220826,1
13,20220714,2
13,20220815,2
14,20220709,1
14,20220714,2
14,20220716,1
14,20220723,1
14,20220730,1
14,20220806,1
14,20220813,1
14,20220815,2
14,20220820,1
14,20220827,1
19,20220704,1
19,20220705,1
19,20220706,1
19,20220707,1
19,20220708,1
19,20220711,1
19,20220712,1
19,20220713,1
19,20220715,1
19,20220718,1
19,20220719,1
19,20220720,1
19,20220721,1
19,20220722,1
19,20220725,1
19,20220726,1
19,20220727,1
19,20220728,1
19,20220729,1
19,20220801,1
19,20220802,1
19,20220803,1
19,20220804,1
19,20220805,1
19,20220808,1
19,20220809,1
19,20220810,1
19,20220811,1
19,20220812,1
19,20220816,1
19,20220817,1
19,20220818,1
19,20220819,1
19,20220822,1
19,20220823,1
19,20220824,1
19,20220825,1
19,20220826,1
21,20220721,2
21,20220728,2
21,20220804,2
21,20220811,2
21,20220815,1
21,20220818,2
21,20220825,2
22,20220714,2
22,20220815,2
23,20220709,2
23,20220714,1
23,20220716,2
23,20220723,2
23,20220730,2
23,20220806,2
23,20220813,2
23,20220815,1
23,20220820,2
23,20220827,2
24,20220704,1
24,20220705,1
24,20220706,1
24,20220707,1
24,20220708,1
24,20220711,1
24,20220712,1
24,20220713,1
24,20220714,1
24,20220715,1
24,20220718,1
24,20220719,1
24,20220720,1
24,20220721,1
24,20220722,1
24,20220725,1
24,20220726,1
24,20220727,1
24,20220728,1
24,20220729,1
24,20220801,1
24,20220802,1
24,20220803,1
24,20220804,1
24,20220805,1
24,20220808,1
24,20220809,1
24,20220810,1
24,20220811,1
24,20220812,1
24,20220815,1
24,20220816,1
24,20220817,1
24,20220818,1
24,20220819,1
24,20220822,1
24,20220823,1
24,20220824,1
24,20220825,1
24,20220826,1
25,20220704,2
25,20220705,2
25,20220706,2
25,20220707,2
25,20220708,2
25,20220711,2
25,20220712,2
25,20220713,2
25,20220714,2
25,20220715,2
25,20220718,2
25,20220719,2
25,20220720,2
25,20220721,2
25,20220722,2
25,20220725,2
25,20220726,2
25,20220727,2
25,20220728,2
25,20220729,2
25,20220801,2
25,20220802,2
25,20220803,2
25,20220804,2
25,20220805,2
25,20220808,2
25,20220809,2
25,20220810,2
25,20220811,2
25,20220812,2
25,20220815,2
25,20220816,2
25,20220817,2
25,20220818,2
25,20220819,2
25,20220822,2
25,20220823,2
25,20220824,2
25,20220825,2
25,20220826,2
26,20220709,2
26,20220714,2
26,20220716,2
26,20220723,2
26,20220730,2
26,20220806,2
26,20220813,2
26,20220815,2
26,20220820,2
29,20220714,1
29,20220815,1
30,20220704,1
30,20220705,1
30,20220706,1
30,20220707,1
30,20220708,1
30,20220711,1
30,20220712,1
30,20220713,1
30,20220714,1
30,20220715,1
30,20220718,1
30,20220719,1
30,20220720,1
30,20220721,1
30,20220722,1
30,20220725,1
30,20220726,1
30,20220727,1
30,20220728,1
30,20220729,1
30,20220801,1
30,20220802,1
30,20220803,1
30,20220804,1
30,20220805,1
30,20220808,1
30,20220809,1
30,20220810,1
30,20220811,1
30,20220812,1
30,20220815,1
30,20220816,1
30,20220817,1
30,20220818,1
30,20220819,1
30,20220822,1
30,20220823,1
30,20220824,1
30,20220825,1
30,20220826,1
31,20220714,2
31,20220815,2
36,20220704,1
36,20220705,1
36,20220707,1
36,20220708,1
36,20220711,1
36,20220712,1
36,20220714,1
36,20220715,1
36,20220718,1
36,20220719,1
36,20220721,1
36,20220722,1
36,20220725,1
36,20220726,1
36,20220728,1
36,20220729,1
36,20220801,1
36,20220802,1
36,20220804,1
36,20220805,1
36,20220808,1
36,20220809,1
36,20220811,1
36,20220812,1
36,20220815,1
36,20220816,1
36,20220818,1
36,20220819,1
36,20220822,1
36,20220823,1
36,20220825,1
36,20220826,1
